regime,days,total_pnl,mean_daily_pnl,std_daily_pnl
1,372,8623.95764127913,23.182681831395513,686.6354468275875
2,145,-4634.122190613376,-31.959463383540523,523.820554371176
3,43,-3224.1421506122697,-74.98005001423883,101.11033963417947
4,53,-5429.007863994907,-102.43411064141334,552.5212152815195
5,607,-20096.08782896568,-33.107228713287775,267.2405789023055
6,234,-2671.673115903612,-11.417406478220565,221.39407122256955
