trade_id,entry_date,entry_dte,entry_spot,entry_strike,expiry,exit_date,days_held,peak_day_actual,peak_pnl_actual,final_pnl,max_drawdown,decay_from_peak,win,entry_greeks_theta,entry_greeks_vega,entry_greeks_gamma
Profile_3_CHARM_2020-07-06_318,2020-07-06,46,317.73,318,2020-08-21,2020-07-24,14,14,450.80000000000007,450.80000000000007,-2123.6,0.0,1,63.4857389538587,-89.56648364025465,-0.039623889210978806
Profile_3_CHARM_2020-09-16_339,2020-09-16,30,339.22,339,2020-10-16,2020-10-06,14,14,583.8000000000001,583.8000000000001,-1958.6,0.0,1,73.46221359003741,-77.12070876975646,-0.052586470859097664
Profile_3_CHARM_2020-10-05_339,2020-10-05,46,338.84,339,2020-11-20,2020-10-23,14,14,462.80000000000007,462.80000000000007,-2547.6,0.0,1,81.76397594532787,-95.51714069424801,-0.030682439369417096
Profile_3_CHARM_2020-10-27_337,2020-10-27,24,336.55,337,2020-11-20,2020-11-16,14,6,341.80000000000007,-417.19999999999993,-2505.6,759.0,0,132.43398109156834,-68.7626180358565,-0.03641634059527793
Profile_3_CHARM_2020-11-04_344,2020-11-04,44,344.44,344,2020-12-18,2020-11-24,14,13,342.80000000000007,28.80000000000009,-2690.6,314.0,1,75.57479288773551,-94.67377847891217,-0.03469130072660519
Profile_3_CHARM_2020-12-23_368,2020-12-23,23,367.76,368,2021-01-15,2021-01-14,14,14,215.8000000000001,215.8000000000001,-1509.6,0.0,1,80.88175149410425,-73.47163825208595,-0.062469541614955194
Profile_3_CHARM_2021-01-04_369,2021-01-04,46,369.34,369,2021-02-19,2021-01-25,14,10,182.80000000000032,63.80000000000009,-2363.6,119.00000000000023,1,69.9417249443398,-103.73844533905046,-0.03593052741221392
Profile_3_CHARM_2021-02-23_387,2021-02-23,24,387.1,387,2021-03-19,2021-03-15,14,11,501.80000000000007,402.80000000000007,-1740.6,99.0,1,87.45195443041118,-78.83225253675676,-0.05530534888264176
Profile_3_CHARM_2021-03-12_394,2021-03-12,35,394.05,394,2021-04-16,2021-04-01,14,13,589.8000000000001,479.8000000000003,-1605.6,109.99999999999977,1,62.99895238139357,-96.62442114994161,-0.052790615349940534
Profile_3_CHARM_2021-03-19_389,2021-03-19,28,389.1,389,2021-04-16,2021-04-09,14,4,230.8000000000001,-795.1999999999999,-2203.6,1026.0,0,76.04764875644588,-85.49016864418081,-0.05455793864037307
Profile_3_CHARM_2021-05-11_414,2021-05-11,38,414.25,414,2021-06-18,2021-06-01,14,14,682.8000000000001,682.8000000000001,-2173.6,0.0,1,71.03744691371034,-105.75556570082612,-0.04300089813219585
Profile_3_CHARM_2021-05-20_416,2021-05-20,29,415.83,416,2021-06-18,2021-06-10,14,14,560.8000000000001,560.8000000000001,-1521.6,0.0,1,68.25204852209541,-93.03905583468969,-0.058885316997508055
Profile_3_CHARM_2021-05-27_421,2021-05-27,22,421.12,421,2021-06-18,2021-06-17,14,14,735.8,735.8,-1037.6,0.0,1,69.22792135137034,-81.87931797383474,-0.07660068704659886
Profile_3_CHARM_2021-06-03_418,2021-06-03,43,418.37,418,2021-07-16,2021-06-23,14,14,414.80000000000007,414.80000000000007,-1614.6,0.0,1,54.21357012039302,-112.97387240838789,-0.05004689554772028
Profile_3_CHARM_2021-06-18_414,2021-06-18,28,413.6,414,2021-07-16,2021-07-09,14,1,-1.1999999999996818,-759.1999999999999,-2209.6,758.0000000000002,0,79.84694419419948,-91.1426085545648,-0.05200162436703724
Profile_3_CHARM_2021-08-18_439,2021-08-18,30,438.81,439,2021-09-17,2021-09-08,14,14,243.8000000000001,243.8000000000001,-1682.5999999999997,0.0,1,76.51490862990246,-99.8969427167031,-0.05070721147066047
Profile_3_CHARM_2021-09-10_445,2021-09-10,35,445.3399,445,2021-10-15,2021-09-30,14,11,614.8000000000003,-16.199999999999683,-1789.5999999999997,631.0,0,68.06350636465456,-108.8831869542017,-0.04885851582813926
Profile_3_CHARM_2021-09-17_441,2021-09-17,28,440.91,441,2021-10-15,2021-10-07,14,14,702.8000000000001,702.8000000000001,-1651.5999999999997,0.0,1,78.755584715569,-96.94072504289794,-0.05278079106131996
Profile_3_CHARM_2021-09-24_444,2021-09-24,21,444.21,444,2021-10-15,2021-10-14,14,14,815.8000000000001,815.8000000000001,-1676.6000000000004,0.0,1,77.092442237157,-84.35882036979609,-0.07197576122967653
Profile_3_CHARM_2021-10-14_443,2021-10-14,36,443.2,443,2021-11-19,2021-11-03,14,0,-17.19999999999991,-901.1999999999999,-2364.6,884.0,0,58.54728338407838,-109.76317181958703,-0.05545650323981892
Profile_3_CHARM_2021-11-26_457,2021-11-26,21,457.1,457,2021-12-17,2021-12-16,14,12,1013.8000000000001,956.8000000000001,-1994.6,57.0,1,143.1621893171033,-87.21278348463044,-0.03853860748782004
Profile_3_CHARM_2021-12-08_469,2021-12-08,44,469.2201,469,2022-01-21,2021-12-29,14,11,512.8000000000001,422.8000000000003,-2049.6000000000004,89.99999999999977,1,66.18484050404888,-128.59281731677024,-0.03998646842131049
Profile_3_CHARM_2021-12-15_471,2021-12-15,37,470.91,471,2022-01-21,2022-01-05,14,14,603.8000000000001,603.8000000000001,-2368.6000000000004,0.0,1,64.4913646710344,-118.62516329449245,-0.048960193328180274
Profile_3_CHARM_2021-12-22_468,2021-12-22,30,468.0,468,2022-01-21,2022-01-12,14,14,674.8000000000001,674.8000000000001,-1699.5999999999997,0.0,1,78.05454749958156,-106.36530510218108,-0.04973379786603565
Profile_3_CHARM_2022-01-05_469,2022-01-05,44,468.95,469,2022-02-18,2022-01-26,14,7,268.80000000000007,-868.1999999999999,-4213.6,1137.0,0,70.48963204203712,-128.8628813642825,-0.03750929801323359
Profile_3_CHARM_2022-01-14_465,2022-01-14,35,465.31,465,2022-02-18,2022-02-04,14,12,354.80000000000007,69.8000000000001,-3336.6000000000004,285.0,1,79.864833845427,-113.99161609449271,-0.04155047479010816
Profile_3_CHARM_2022-02-18_432,2022-02-18,28,432.22,432,2022-03-18,2022-03-11,14,13,973.8000000000001,771.8000000000003,-2450.6,201.99999999999977,1,134.87002371738103,-95.1336911688428,-0.030612036116220823
Profile_3_CHARM_2022-04-14_438,2022-04-14,36,437.82,438,2022-05-20,2022-05-05,14,13,456.80000000000007,-748.1999999999999,-2964.6,1205.0,0,87.53824613657906,-109.20053484528177,-0.0368021262066012
Profile_3_CHARM_2022-05-27_417,2022-05-27,21,416.7,417,2022-06-17,2022-06-17,14,7,609.8000000000001,-3162.2,-5209.6,3772.0,0,118.87938299456776,-79.61050613732714,-0.046470019192460015
Profile_3_CHARM_2022-07-13_376,2022-07-13,37,376.44,376,2022-08-19,2022-08-02,14,3,136.80000000000055,-1178.1999999999998,-3894.6000000000004,1315.0000000000005,0,109.48948195832585,-95.07745421304686,-0.028453426949695666
Profile_3_CHARM_2022-12-09_393,2022-12-09,42,392.55,393,2023-01-20,2022-12-30,14,13,686.8000000000001,521.8000000000001,-2445.6,165.0,1,81.85067745121299,-105.83963782003521,-0.033679307055450955
Profile_3_CHARM_2023-01-10_391,2023-01-10,38,390.63,391,2023-02-17,2023-01-31,14,6,358.8000000000003,36.80000000000032,-2178.6,322.0,1,83.52531416532231,-100.19830529636536,-0.03649988877393813
Profile_3_CHARM_2023-02-21_399,2023-02-21,24,399.13,399,2023-03-17,2023-03-13,14,11,664.8000000000001,134.8000000000001,-1742.6,530.0,1,110.774593400209,-81.34856732468413,-0.04357641657853158
Profile_3_CHARM_2023-03-21_399,2023-03-21,31,398.87,399,2023-04-21,2023-04-11,14,14,415.80000000000007,415.80000000000007,-1828.6,0.0,1,91.08537388343308,-92.39351684683649,-0.041055406588068735
Profile_3_CHARM_2023-03-28_396,2023-03-28,24,395.65,396,2023-04-21,2023-04-18,14,10,68.8000000000001,-359.20000000000016,-1906.6,428.0000000000002,0,97.89209447066433,-80.78717943660857,-0.04939773653745548
Profile_3_CHARM_2023-04-26_404,2023-04-26,23,404.37,404,2023-05-19,2023-05-16,14,14,645.8000000000001,645.8000000000001,-1725.6,0.0,1,104.46193898489969,-80.54770993940555,-0.04820887009829743
Profile_3_CHARM_2023-05-03_408,2023-05-03,44,407.99,408,2023-06-16,2023-05-23,14,9,354.80000000000007,324.80000000000007,-2015.6,30.0,1,74.16020723572558,-112.27819319692661,-0.0355117275847036
Profile_3_CHARM_2023-05-10_413,2023-05-10,37,412.8,413,2023-06-16,2023-05-31,14,14,388.80000000000007,388.80000000000007,-1660.6,0.0,1,71.47949510023518,-104.30586786774751,-0.0439437258429037
Profile_3_CHARM_2023-05-17_415,2023-05-17,30,415.21,415,2023-06-16,2023-06-07,14,9,210.8000000000001,25.80000000000009,-1554.6,185.0,1,73.02317694184899,-94.25578632897223,-0.053070991083081345
Profile_3_CHARM_2023-05-24_411,2023-05-24,23,411.09,411,2023-06-16,2023-06-14,14,4,87.8000000000001,-1124.2000000000003,-2580.6000000000004,1212.0000000000005,0,99.30100645747862,-81.99646178155274,-0.05080470870810329
Profile_3_CHARM_2023-08-08_449,2023-08-08,38,448.75,449,2023-09-15,2023-08-28,14,14,467.8000000000003,467.8000000000003,-1629.6,0.0,1,68.95534909548432,-114.82401634874074,-0.04445166737948056
Profile_3_CHARM_2023-08-30_451,2023-08-30,16,450.99,451,2023-09-15,2023-09-15,11,10,607.8000000000001,103.79999999999998,-890.6000000000001,504.0000000000001,1,86.59841625786095,-75.01291962856553,-0.08413469538893836
Profile_3_CHARM_2023-09-06_446,2023-09-06,44,446.19,446,2023-10-20,2023-09-26,14,9,320.80000000000007,-464.19999999999993,-2040.6,785.0,0,57.63409555475419,-122.11197621736675,-0.04604206151474354
Profile_3_CHARM_2023-09-18_444,2023-09-18,32,443.64,444,2023-10-20,2023-10-06,14,1,-3.199999999999909,-292.19999999999993,-2320.6,289.0,0,68.28924847373926,-104.31582709175088,-0.05336887167549148
Profile_3_CHARM_2023-10-17_436,2023-10-17,31,436.09,436,2023-11-17,2023-11-06,14,14,789.8000000000001,789.8000000000001,-2635.6,0.0,1,82.2113581192542,-100.78835066612258,-0.045577505000753055
Profile_3_CHARM_2023-10-24_424,2023-10-24,24,423.62,424,2023-11-17,2023-11-13,14,6,400.80000000000007,-202.1999999999999,-1759.6,603.0,0,101.56544900006705,-86.49596187684512,-0.04762378566721097
Profile_3_CHARM_2023-10-31_418,2023-10-31,17,418.23,418,2023-11-17,2023-11-17,13,0,-17.19999999999991,-2011.1999999999998,-3248.6,1994.0,0,113.3924462912099,-71.71100800071635,-0.06018921588486459
Profile_3_CHARM_2023-11-07_437,2023-11-07,38,436.87,437,2023-12-15,2023-11-28,14,2,44.80000000000009,-481.19999999999993,-2127.6,526.0,0,66.69238547305063,-111.69364399221642,-0.045961438187291564
Profile_3_CHARM_2024-01-12_477,2024-01-12,35,476.665,477,2024-02-16,2024-02-02,14,12,80.8000000000001,-720.1999999999999,-2027.6,801.0,0,63.01896400816352,-116.98696063445554,-0.053050075501134
Profile_3_CHARM_2024-04-04_513,2024-04-04,43,513.03,513,2024-05-17,2024-04-24,14,14,641.8000000000003,641.8000000000003,-2201.6,0.0,1,81.71756378754951,-139.39484247144193,-0.033066787319554064
Profile_3_CHARM_2024-04-11_518,2024-04-11,36,518.05,518,2024-05-17,2024-05-01,14,12,473.80000000000007,467.80000000000007,-2474.6,6.0,1,82.94731036816047,-128.83972418442406,-0.038971721167033395
